timestamp,username,message
2025-11-02 14:58:05,@asta7975,ngaret woi
2025-11-02 14:58:05,@fikotamatoys3827,onic kroco
2025-11-02 14:58:06,@sa1nthowl,INI LU MANADO JAKARTA JUGA BELOM MULAI NIH MPL
2025-11-02 14:58:06,@adrianavriliansyah2452,NAH
2025-11-02 14:58:06,@Devinaoktaviani-z6f,akhirnya
2025-11-02 14:58:06,@IRVAN_24,sapa tadi bilang jam 17:00
2025-11-02 14:58:07,@shlazzh,lama banget
2025-11-02 14:58:07,@ngurah919,LEts goooo AEEEEE
2025-11-02 14:58:07,@Anakbaik89,woilah harus nunggu 18 mnit
2025-11-02 14:58:07,@ShiMietung-f8n,yang bener jam berapa tot
2025-11-02 14:58:08,@ahmadfajar-c6u,ae mbapuk
2025-11-02 14:58:08,@hardstyle007,hahah kene scammed baru on lagu
2025-11-02 14:58:09,@Sahrul-q9q,baru yanyi yanyi sampe setengah jam
2025-11-02 14:58:09,@sahirputra,liat postingan terbaru mpl jam 17:00 mulainya
2025-11-02 14:58:09,@ngurah919,AE
2025-11-02 14:58:09,@kamilaismatul9507,BISMILLAHH ONIC 
2025-11-02 14:58:10,@D1ckyy,AE
2025-11-02 14:58:10,@Agung2208-h7k,kapan rrq main
2025-11-02 14:58:11,@ngurah919,AE
2025-11-02 14:58:11,@hardstyle007,hahaha
2025-11-02 14:58:11,@meilinndaaa,ngaret weee
2025-11-02 14:58:11,@ngurah919, AE
2025-11-02 14:58:12,@Azriiell-f,woi cendy pulang
2025-11-02 14:58:12,@ngurah919,AE
2025-11-02 14:58:12,@nafisahqurratuayun9197,Mulai gapenting dlu iniii. Nanti jam 17.30 baru match nya
2025-11-02 14:58:12,@ngurah919,AE
2025-11-02 14:58:13,@ngurah919,ae
2025-11-02 14:58:13,@SalehSaleh-f8u,go onic time :hedgehog::red_heart:
2025-11-02 14:58:14,@shlazzh,telat setengah jam
2025-11-02 14:58:15,@ahmadfajar-c6u,ae mbapuk
2025-11-02 14:58:17,@fikotamatoys3827,onic kroco
2025-11-02 14:58:17,@LiYa-yc3rs,bismillah onic 
2025-11-02 14:58:18,@ayayna123,selamat menunggu 18mnt lagii :loudly_crying_face:
2025-11-02 14:58:19,@polarbear-v5z,caster nya siapa sekarang?
2025-11-02 14:58:20,@Sahrul-q9q,yanyi dulu 18 menit wkakak
2025-11-02 14:58:21,@BengotAje,ae
2025-11-02 14:58:21,@Devinaoktaviani-z6f,Gooo onic
2025-11-02 14:58:21,@Alfi.agata2975,gw kira gw yg pertama :face_with_tears_of_joy::face_with_tears_of_joy:
2025-11-02 14:58:22,@Critianomessironaldo,onic time
2025-11-02 14:58:23,@asekumar30,ae
2025-11-02 14:58:24,@ahmadfajar-c6u,ae mbapuk
2025-11-02 14:58:24,@frysss0_s1ety,admin hbs makan ayam geprek
2025-11-02 14:58:24,@Critianomessironaldo,gass
2025-11-02 14:58:25,@irfanabdurrahman6170,wkwkkwkwk musuh fans aeron
2025-11-02 14:58:26,@Tahru-fb8xm,7
2025-11-02 14:58:27,@Satoritzy-7,ae
2025-11-02 14:58:28,@ZeX-ries,Let's Go
2025-11-02 14:58:29,@animeplay-j3g,onicc
2025-11-02 14:58:29,@JoeyJordisonAkbar,AE filling gw
2025-11-02 14:58:30,@SalehSaleh-f8u,awas ada AE jadi jadian :rolling_on_the_floor_laughing::face_with_tears_of_joy:
2025-11-02 14:58:30,@ngurah919,LEts GO AE BE THE CHAMPION
2025-11-02 14:58:30,@kepet-w8w,onic 4 ae 1
2025-11-02 14:58:30,@Ferdianyan_yan,gogogo
2025-11-02 14:58:30,@herocover7112,yos
2025-11-02 14:58:31,@ramadhan-f1p,ONIC
2025-11-02 14:58:33,@yelloow.1n,ADA CENDYYYYYYY
2025-11-02 14:58:34,@YelfiNengsih,gas AE yakin menang
2025-11-02 14:58:34,@Agung-w7d,alter ego akan mengukir sejarah
2025-11-02 14:58:34,@SURYA16SURYA16-l6u,ngopi dlu sambil nunggu
2025-11-02 14:58:34,@ZeX-ries,AE
2025-11-02 14:58:34,@Skyrenn_rrq,"Ayoo onic, goo onic"
2025-11-02 14:58:35,@frysss0_s1ety,goo onic
2025-11-02 14:58:35,@kyy-l4r,JIR BANG CENDY
2025-11-02 14:58:36,@ZeX-ries,ONIC
2025-11-02 14:58:36,@ahmadfajar-c6u,ae mbapuk
2025-11-02 14:58:38,@hafizul101,SEMANGAT ALTER EGO SALAM DARI MALAYSIA
2025-11-02 14:58:38,@gamebenk4120,7
2025-11-02 14:58:39,@KhairanAkbar-f7k,ae
2025-11-02 14:58:40,@GufronJr-y4r,bismillah Skylar pegang piala mpl
2025-11-02 14:58:40,@Satoritzy-7,onic
2025-11-02 14:58:40,@Tahru-fb8xm,7
2025-11-02 14:58:40,@jalilguarfeld1958,kekny jm 4 mulai matchny
2025-11-02 14:58:41,@mmmmiiEe,LET'S GOOOOOO
2025-11-02 14:58:42,@agus09z,"final seru, sama kuat, tp yg lebih kuat yg bakal jadi juara"
2025-11-02 14:58:42,@hardstyle007,dari tadi 18 minutes
2025-11-02 14:58:42,@IlmanSaputra-m5n,bissmilaah onci gooo
2025-11-02 14:58:42,@Cold-yw21n,15.30 katanya mulai ini udh mau jam 3 blum apa apa
2025-11-02 14:58:43,@asekumar30,gooo AE
2025-11-02 14:58:44,@IRVAN_24,ini mainnya jam 4 keknya
2025-11-02 14:58:44,@RRQ-R-nya-runner-up,RRQ main jam brpa
2025-11-02 14:58:45,@Tahru-fb8xm,7
2025-11-02 14:58:45,@jati1111id,AE letsgoooo
2025-11-02 14:58:45,@ngurah919,ALTER EGO GO GO GO!
2025-11-02 14:58:46,@gamebenk4120,7
2025-11-02 14:58:47,@cazorllaofficialyoutube,min ada clip di YouTube orang kalo grand final Uda main
2025-11-02 14:58:48,@ruhuljibril2508,RRQ GOA
2025-11-02 14:58:49,@nova_amelia12,Goooooo ONIC
2025-11-02 14:58:49,@yoihhhh-xv2yh,AE PULANG AJA
2025-11-02 14:58:49,@nointention1641,7
2025-11-02 14:58:50,@Tahru-fb8xm,7
2025-11-02 14:58:50,@ayayna123,semangat landak lucu :red_heart:
2025-11-02 14:58:51,@arief29X,intinya membohongi publik
2025-11-02 14:58:51,@biggboss1210,AE go go go
2025-11-02 14:58:52,@Devinaoktaviani-z6f,Onic pasti menang
2025-11-02 14:58:53,@gamebenk4120,7
2025-11-02 14:58:53,@kimdcyoxn12,ONIC
2025-11-02 14:58:53,@TriSukawati-il6ft,what it’s time
2025-11-02 14:58:54,@BayuIlyasa-p6w1r,goo sonic
2025-11-02 14:58:54,@M.rizkiarbi,bismillah semoga masih onic :pleading_face::pleading_face:
2025-11-02 14:58:55,@faqihaja9247,TERSERAH YANG MENANG TIM APA KARNA DUADUANYA TIM FAVORIT KU
2025-11-02 14:58:59,@ayayna123,semangat landak lucu :red_heart:
